time/episodes,time/fps,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/loss,train/learning_rate,train/n_updates
4,4301,0.8968000000000004,1000.0,1.75,4000,0,,,
8,4818,0.8935999999999998,1000.0,0.875,8000,1,,,
12,4885,0.8904000000000002,1000.0,0.5833333333333334,12000,2,,,
16,4932,0.8871999999999997,1000.0,0.6875,16000,3,,,
20,5029,0.884,1000.0,0.55,20000,3,,,
24,5049,0.8808000000000004,1000.0,0.5,24000,4,,,
28,5110,0.8775999999999998,1000.0,0.42857142857142855,28000,5,,,
32,5118,0.8744000000000002,1000.0,0.375,32000,6,,,
36,5122,0.8711999999999996,1000.0,0.5277777777777778,36000,7,,,
40,5157,0.868,1000.0,0.475,40000,7,,,
44,5158,0.8648000000000003,1000.0,0.4318181818181818,44000,8,,,
48,5185,0.8615999999999998,1000.0,0.3958333333333333,48000,9,,,
52,4539,0.8584000000000002,1000.0,0.36538461538461536,52000,11,9.076204150915146e-05,0.0001,499
56,3981,0.8551999999999996,1000.0,0.3392857142857143,56000,14,0.0004507367266342044,0.0001,1499
60,3617,0.852,1000.0,0.3333333333333333,60000,16,2.727908213273622e-05,0.0001,2499
64,3321,0.8488000000000003,1000.0,0.3125,64000,19,7.669809565413743e-05,0.0001,3499
68,3101,0.8455999999999998,1000.0,0.29411764705882354,68000,21,0.0003287993895355612,0.0001,4499
72,2938,0.8424000000000001,1000.0,0.2777777777777778,72000,24,2.0336352463345975e-05,0.0001,5499
76,2791,0.8391999999999996,1000.0,0.2894736842105263,76000,27,1.0761244993773289e-05,0.0001,6499
80,2675,0.836,1000.0,0.275,80000,29,1.1956150046898983e-05,0.0001,7499
84,2579,0.8328000000000003,1000.0,0.2619047619047619,84000,32,5.8238192650605924e-06,0.0001,8499
88,2498,0.8295999999999998,1000.0,0.375,88000,35,5.791229341411963e-05,0.0001,9499
92,2434,0.8264000000000001,1000.0,0.5434782608695652,92000,37,0.006438815966248512,0.0001,10499
